id;nome;descricao;created_at;updated_at;deleted_at
1;worriedly;../fake-data/blob/hipster.txt;2024-05-27T21:44:47;2024-05-28T00:17:52;2024-05-28T02:35:33
2;hmph;../fake-data/blob/hipster.txt;2024-05-28T13:05:08;2024-05-27T16:18:06;2024-05-28T07:59:28
3;addition gadzooks yesterday;../fake-data/blob/hipster.txt;2024-05-28T12:58:21;2024-05-27T21:10:59;2024-05-27T19:19:27
4;bah;../fake-data/blob/hipster.txt;2024-05-28T07:41:14;2024-05-28T06:39:13;2024-05-28T14:54:48
5;dominate confused;../fake-data/blob/hipster.txt;2024-05-28T06:26:18;2024-05-28T06:10:49;2024-05-27T22:51:15
6;consequently worth;../fake-data/blob/hipster.txt;2024-05-27T16:41:57;2024-05-28T00:32:07;2024-05-27T17:43:38
7;notarize;../fake-data/blob/hipster.txt;2024-05-28T07:06:20;2024-05-28T10:02:32;2024-05-28T04:38:24
8;absent as;../fake-data/blob/hipster.txt;2024-05-28T09:18:30;2024-05-28T04:48:30;2024-05-27T18:03:05
9;permission forceful;../fake-data/blob/hipster.txt;2024-05-27T22:20:57;2024-05-28T00:26:50;2024-05-27T23:23:02
10;knowledgeably;../fake-data/blob/hipster.txt;2024-05-28T09:56:07;2024-05-27T19:27:39;2024-05-27T17:39:17
