id;numero;data;data_inicio;data_fim;ano;justificativa_exclusao;created_at;updated_at;deleted_at
1;9146;2024-05-28;2024-05-27;2024-05-27;17994;despite tire cart;2024-05-27T21:33:58;2024-05-28T02:35:23;2024-05-28T14:03:57
2;27912;2024-05-27;2024-05-28;2024-05-28;2806;landscape;2024-05-28T05:03:53;2024-05-27T15:24:51;2024-05-27T21:58:40
3;23035;2024-05-28;2024-05-27;2024-05-28;6445;nursing heavily enormously;2024-05-27T23:33:24;2024-05-27T19:40:21;2024-05-28T02:52:03
4;9877;2024-05-28;2024-05-28;2024-05-27;31139;vendor;2024-05-28T05:01:57;2024-05-27T23:35:22;2024-05-27T15:17:42
5;32725;2024-05-28;2024-05-28;2024-05-28;20986;furthermore slate briskly;2024-05-27T15:11:26;2024-05-27T18:53:57;2024-05-28T06:10:56
6;8166;2024-05-27;2024-05-27;2024-05-28;8217;psst;2024-05-28T13:28:00;2024-05-28T09:22:20;2024-05-28T03:10:42
7;31243;2024-05-28;2024-05-28;2024-05-28;31518;suddenly extroverted;2024-05-28T06:19:39;2024-05-28T09:12:26;2024-05-27T18:49:56
8;13089;2024-05-27;2024-05-28;2024-05-27;32741;daintily;2024-05-28T06:19:48;2024-05-28T07:32:18;2024-05-27T22:35:33
9;9152;2024-05-27;2024-05-27;2024-05-28;7477;atop but why;2024-05-28T11:28:27;2024-05-27T16:03:34;2024-05-27T17:29:01
10;13529;2024-05-28;2024-05-28;2024-05-28;27073;seeder;2024-05-28T09:18:36;2024-05-28T03:09:33;2024-05-28T12:17:17
