id;nome;sigla;created_at;updated_at;deleted_at
1;slowly;inside;2024-05-28T01:51:23;2024-05-28T08:50:05;2024-05-27T15:26:02
2;toward barring;upward;2024-05-27T21:43:55;2024-05-27T22:02:37;2024-05-27T16:34:28
3;exhibit;evaluate until;2024-05-28T00:55:43;2024-05-27T16:10:57;2024-05-28T00:26:19
4;distrust of absent;to;2024-05-27T17:30:57;2024-05-28T12:12:43;2024-05-27T16:39:46
5;theology;scary;2024-05-28T14:40:01;2024-05-28T02:06:16;2024-05-27T19:20:33
6;regarding;forceful within highlight;2024-05-28T13:04:34;2024-05-28T03:24:06;2024-05-28T02:03:21
7;pollard;desensitize;2024-05-28T04:44:42;2024-05-28T09:37:56;2024-05-28T13:30:28
8;homely er;fooey tonality;2024-05-27T23:45:24;2024-05-28T00:23:58;2024-05-27T17:39:46
9;outrigger;hurt;2024-05-28T08:48:48;2024-05-27T23:35:58;2024-05-27T17:34:27
10;bah whereas detailed;given surprisingly;2024-05-28T03:38:56;2024-05-27T15:24:58;2024-05-28T01:27:04
